Jul 01, 2021 (Jun);08:45;62.1;;62.6;
Jun 23, 2021 (Jun);08:45  ;62.6;61.5;62.1;
Jun 01, 2021 (May);08:45;62.1;;61.5;
May 21, 2021 (May);08:45  ;61.5;60.2;60.5;
May 03, 2021 (Apr);08:45;60.5;;60.6;
Apr 23, 2021 (Apr);08:45  ;60.6;60.5;59.1;
Apr 01, 2021 (Mar);08:45;59.1;59.0;58.6;
Mar 24, 2021 (Mar);08:45  ;59.0;59.3;58.6;
Mar 01, 2021 (Feb);09:45;58.6;58.5;59.2;
Feb 19, 2021 (Feb);09:45  ;58.5;58.5;59.2;
Feb 01, 2021 (Jan);09:45;59.2;;59.1;
Jan 22, 2021 (Jan);09:45  ;59.1;56.5;57.1;
Jan 04, 2021 (Dec);09:45;57.1;;56.5;
Dec 16, 2020 (Dec);09:45  ;56.5;55.7;56.7;
Dec 01, 2020 (Nov);09:45;56.7;56.7;53.4;
Nov 23, 2020 (Nov);09:45  ;56.7;53.0;53.4;
Nov 02, 2020 (Oct);09:45;53.4;;53.3;
Oct 23, 2020 (Oct);08:45  ;53.3;53.4;53.2;
Oct 01, 2020 (Sep);08:45;53.2;53.5;53.1;
Sep 23, 2020 (Sep);08:45  ;53.5;53.1;53.1;
Sep 01, 2020 (Aug);08:45;53.1;53.6;50.9;
Aug 21, 2020 (Aug);08:45  ;53.6;51.9;50.9;
Aug 03, 2020 (Jul);08:45;50.9;51.3;49.8;
Jul 24, 2020 (Jul);08:45  ;51.3;51.5;49.8;
Jul 01, 2020 (Jun);08:45;49.8;49.6;39.8;
Jun 23, 2020 (Jun);08:45  ;49.6;48.0;39.8;
Jun 01, 2020 (May);08:45;39.8;39.8;36.1;
May 21, 2020 (May);08:45  ;39.8;38.0;36.1;
May 01, 2020 (Apr);08:45;36.1;36.9;48.5;
Apr 23, 2020 (Apr);08:45  ;36.9;38.0;48.5;
Apr 01, 2020 (Mar);08:45;48.5;49.2;50.7;
Mar 24, 2020 (Mar);08:45  ;49.2;42.8;50.7;
Mar 02, 2020 (Feb);09:45;50.7;50.8;51.9;
Feb 21, 2020 (Feb);09:45  ;50.8;51.5;51.9;
Feb 03, 2020 (Jan);09:45;51.9;51.7;52.4;
Jan 24, 2020 (Jan);09:45  ;51.7;52.5;52.4;
Jan 02, 2020 (Dec);09:45;52.4;52.5;52.6;
Dec 16, 2019 (Dec);09:45  ;52.5;52.6;52.6;
Dec 02, 2019 (Nov);09:45;52.6;52.2;52.2;
Nov 22, 2019 (Nov);09:45  ;52.2;51.5;51.3;
Nov 01, 2019 (Oct);08:45;51.3;51.5;51.1;
Oct 24, 2019 (Oct);08:45  ;51.5;50.7;51.1;
Oct 01, 2019 (Sep);08:45;51.1;51.0;50.3;
Sep 23, 2019 (Sep);08:45  ;51.0;50.3;50.3;
Sep 03, 2019 (Aug);08:45;50.3;49.9;49.9;
Aug 22, 2019 (Aug);08:45  ;49.9;50.5;50.4;
Aug 01, 2019 (Jul);08:45;50.4;50.0;50.0;
Jul 24, 2019 (Jul);08:45  ;50.0;51.0;50.6;
Jul 01, 2019 (Jun);08:45;50.6;50.1;50.1;
Jun 21, 2019 (Jun);08:45  ;50.1;50.5;50.5;
Jun 03, 2019 (May);08:45;50.5;50.6;50.6;
May 23, 2019 (May);08:45  ;50.6;52.5;52.6;
May 01, 2019 (Apr);08:45;52.6;52.4;52.4;
Apr 18, 2019 (Apr);08:45  ;52.4;52.8;52.4;
Apr 01, 2019 (Mar);08:45;52.4;52.5;52.5;
Mar 22, 2019 (Mar);08:45  ;52.5;53.5;53.0;
Mar 01, 2019 (Feb);09:45;53.0;53.7;53.7;
Feb 21, 2019 (Feb);09:45  ;53.7;54.9;54.9;
Feb 01, 2019 (Jan);09:45;54.9;54.9;54.9;
Jan 24, 2019 (Jan);09:45  ;54.9;53.5;53.8;
Jan 02, 2019 (Dec);09:45;53.8;53.9;53.9;
Dec 14, 2018 (Dec);09:45  ;53.9;55.1;55.3;
Dec 03, 2018 (Nov);09:45;55.3;55.4;55.4;
Nov 23, 2018 (Nov);09:45  ;55.4;55.8;55.7;
Nov 01, 2018 (Oct);08:45;55.7;55.9;55.9;
Oct 24, 2018 (Oct);08:45  ;55.9;55.4;55.6;
Oct 01, 2018 (Sep);08:45;55.6;55.6;55.6;
Sep 21, 2018 (Sep);08:45  ;55.6;55.0;54.7;
Sep 04, 2018 (Aug);08:45;54.7;54.5;54.5;
Aug 23, 2018 (Aug);08:45  ;54.5;55.1;55.3;
Aug 01, 2018 (Jul);08:45;55.3;55.5;55.5;
Jul 24, 2018 (Jul);08:45  ;55.5;55.1;55.4;
Jul 02, 2018 (Jun);08:45;55.4;54.6;54.6;
Jun 22, 2018 (Jun);08:45  ;54.6;56.3;56.4;
Jun 01, 2018 (May);08:45;56.4;56.6;56.6;
May 23, 2018 (May);08:45  ;56.6;56.6;56.5;
May 01, 2018 (Apr);08:45;56.5;56.5;56.5;
Apr 23, 2018 (Apr);08:45  ;56.5;55.2;55.6;
Apr 02, 2018 (Mar);08:45;55.6;55.7;55.7;
Mar 22, 2018 (Mar);08:45  ;55.7;56.0;55.3;
Mar 01, 2018 (Feb);09:45;55.3;55.9;55.9;
Feb 21, 2018 (Feb);09:45  ;55.9;55.4;55.5;
Feb 01, 2018 (Jan);09:45;55.5;55.5;55.5;
Jan 24, 2018 (Jan);09:45  ;55.5;55.2;55.1;
Jan 02, 2018 (Dec);09:45;55.1;55.0;55.0;
Dec 14, 2017 (Dec);09:45  ;55.0;54.2;53.9;
Dec 01, 2017 (Nov);09:45;53.9;53.8;53.8;
Nov 24, 2017 (Nov);09:45  ;53.8;54.8;54.6;
Nov 01, 2017 (Oct);08:45;54.6;54.5;54.5;
Oct 24, 2017 (Oct);08:45  ;54.5;53.5;53.1;
Oct 02, 2017 (Sep);08:45;53.1;53.0;53.0;
Sep 22, 2017 (Sep);08:45  ;53.0;53.0;52.8;
Sep 01, 2017 (Aug);08:45;52.8;52.5;52.5;
Aug 23, 2017 (Aug);08:45  ;52.5;53.3;53.3;
Aug 01, 2017 (Jul);08:45;53.3;53.2;53.2;
Jul 24, 2017 (Jul);08:45  ;53.2;52.0;52.0;
Jul 03, 2017 (Jun);08:45;52.0;52.1;52.1;
Jun 23, 2017 (Jun);08:45  ;52.1;53.0;52.7;
Jun 01, 2017 (May);08:45;52.7;52.5;52.5;
May 23, 2017 (May);08:45  ;52.5;53.0;52.8;
May 01, 2017 (Apr);08:45;52.8;52.8;52.8;
Apr 21, 2017 (Apr);08:45  ;52.8;53.5;53.3;
Apr 03, 2017 (Mar);08:45;53.3;53.5;53.4;
Mar 24, 2017 (Mar);08:45  ;53.4;54.8;54.2;
Mar 01, 2017 (Feb);09:45;54.2;54.4;54.3;
Feb 21, 2017 (Feb);09:45  ;54.3;55.3;55.0;
Feb 01, 2017 (Jan);09:45;55.0;55.1;55.1;
Jan 24, 2017 (Jan);09:45  ;55.1;54.5;54.3;
Jan 03, 2017 (Dec);09:45;54.3;54.2;54.2;
Dec 15, 2016 (Dec);09:45  ;54.2;54.2;54.1;
Dec 01, 2016 (Nov);09:45;54.1;53.9;53.9;
Nov 23, 2016 (Nov);09:45  ;53.9;53.4;53.4;
Nov 01, 2016 (Oct);08:45;53.4;53.3;53.2;
Oct 24, 2016 (Oct);08:45  ;53.2;51.5;51.5;
Oct 03, 2016 (Sep);08:45;51.5;51.4;51.4;
Sep 23, 2016 (Sep);08:45  ;51.4;51.9;52.0;
Sep 01, 2016 (Aug);08:45;52.0;52.1;52.1;
Aug 23, 2016 (Aug);08:45  ;52.1;52.7;52.9;
Aug 01, 2016 (Jul);08:45;52.9;52.9;52.9;
Jul 22, 2016 (Jul);08:45  ;52.9;51.6;51.3;
Jul 01, 2016 (Jun);08:45;51.3;51.4;51.4;
Jun 23, 2016 (Jun);08:45  ;51.4;50.8;50.7;
Jun 01, 2016 (May);08:45;50.7;50.5;50.5;
May 23, 2016 (May);08:45  ;50.5;51.0;50.8;
